ordre,id,phase,priorite,plateforme,scenario,prerequis,actions,resultat_attendu,notes_build,statut,commentaire
18,PROF-004,Création profil,Recommandé,Les deux,Validation formulaire — champs manquants,,Tenter de valider avec des champs vides ou pseudo trop court.,Messages d'erreur inline en français. Soumission bloquée.,,À faire,
19,PROF-005,Création profil,Recommandé,Les deux,Clavier sur création profil,,Focus sur les champs texte avec clavier ouvert.,Champ actif visible au-dessus du clavier. Scroll possible si besoin.,,À faire,
20,HOME-001,Accueil,Obligatoire,Les deux,Tableau de bord,,Ouvrir l'onglet Accueil après connexion.,Salutation avec pseudo ou nom anonyme. Carte solde tokens visible. Sections loteries et missions.,,À faire,
21,HOME-002,Accueil,Obligatoire,Les deux,Navigation depuis l'accueil,,Depuis l'accueil : Voir tout loteries. Voir tout missions. Carte solde / utiliser tokens.,Chaque action ouvre le bon écran sans erreur.,,À faire,
22,HOME-003,Accueil,Recommandé,Les deux,Pull to refresh,,Tirer vers le bas pour rafraîchir l'accueil.,Données rechargées indicateur de chargement puis contenu à jour.,,À faire,
23,HOME-004,Accueil,Recommandé,Les deux,Daily login (connexion quotidienne),,Se connecter un jour où le profil existe déjà (pas le jour de création). Rouvrir l'app.,Éventuelle modale ou toast de récompense tokens. Solde wallet mis à jour. Mission daily login invisible dans la liste missions.,Pas de récompense le jour UTC de création du profil — comportement normal.,À faire,
24,MISS-001,Missions,Obligatoire,Les deux,Liste missions à faire,,Onglet Missions onglet À faire.,Liste de missions avec cartes lisibles. Bandeau info visible. Filtres Tous / Sondage / Vidéo / Follow disponibles.,,À faire,
25,MISS-002,Missions,Obligatoire,Les deux,Mission type sondage (survey),,Ouvrir une mission sondage. Répondre au questionnaire. Soumettre.,Soumission acceptée ou état En attente si validation admin. Mission disparaît ou passe en complétée selon le flux.,Données de test : au moins une mission survey en base.,À faire,
26,MISS-003,Missions,Obligatoire,Les deux,Mission type vidéo,,Ouvrir une mission vidéo. Regarder la vidéo jusqu'au bout. Valider.,Bouton valider activé après visionnage. Soumission OK ou en attente.,,À faire,
27,MISS-004,Missions,Obligatoire,Les deux,Mission type action externe,,Ouvrir une mission action externe. Ouvrir le lien externe. Attendre le délai minimum. Valider.,Compte à rebours ou indication de progression. Soumission OK après délai.,,À faire,
28,MISS-005,Missions,Recommandé,Les deux,Mission type follow / referral / custom,,Ouvrir une mission de ces types si présente en liste.,Écran détail avec infos mission et section À propos. Pas de crash même si flux interactif limité.,Types follow referral custom = affichage informatif principalement.,À faire,
29,MISS-006,Missions,Obligatoire,Les deux,Règlement mission,,Sur une mission avec règlement : ouvrir Voir le règlement.,Modale avec texte Markdown lisible scrollable fermeture OK.,,À faire,
30,MISS-007,Missions,Obligatoire,Les deux,Onglet missions complétées,,Basculer sur Complétées.,Historique des missions soumises avec statuts cohérents (terminée en attente refusée).,,À faire,
31,MISS-008,Missions,Recommandé,Les deux,Mission refusée — réessai,,Si une mission apparaît refusée (ou simuler après refus admin) rouvrir le détail.,Bandeau ou message de refus visible. Possibilité de resoumettre si prévu.,Nécessite parfois action admin pour simuler un refus.,À faire,
32,MISS-009,Missions,Recommandé,Les deux,Filtres et scroll liste,,Tester filtres Sondage Vidéo Follow. Scroller la liste.,Filtrage correct. Pagination ou chargement fluide sans freeze.,,À faire,
33,LOTT-001,Loteries,Obligatoire,Les deux,Hub loteries,,Onglet Loteries.,Sections visibles (featured fin proche cartes cadeau etc.). Recherche et catégories si présentes.,,À faire,
34,LOTT-002,Loteries,Obligatoire,Les deux,Détail loterie,,Ouvrir une loterie active.,Informations loterie prix ticket date tirage règles lisibles en français.,,À faire,
35,LOTT-003,Loteries,Obligatoire,Les deux,Achat ticket — solde suffisant,,Avec assez de tokens acheter 1 ticket.,Achat confirmé. Solde diminué. Ticket visible dans Wallet.,Faire des missions avant si solde insuffisant.,À faire,
36,LOTT-004,Loteries,Obligatoire,Les deux,Achat ticket — solde insuffisant,,Tenter d'acheter sans assez de tokens.,Message d'erreur clair en français. Pas de débit. Pas de crash.,,À faire,
37,LOTT-005,Loteries,Recommandé,Les deux,Catalogue complet,,Depuis le hub ou Voir tout ouvrir le catalogue /all.,Liste complète navigable retour OK.,,À faire,
38,LOTT-006,Loteries,Recommandé,Les deux,Accès résultats depuis loteries,,Depuis l'écran loteries accéder aux résultats (lien ou navigation prévue).,Ouverture liste résultats ou message vide cohérent.,,À faire,
39,WALL-001,Wallet,Obligatoire,Les deux,Solde et en-tête,,Onglet Wallet.,Solde tokens affiché. Récompenses en attente si applicable. Bouton info wallet.,,À faire,
40,WALL-002,Wallet,Obligatoire,Les deux,Historique transactions,,Segment Historique. Parcourir la liste. Tester filtre crédit / débit si disponible.,Mouvements cohérents avec missions et achats tickets. Dates et montants lisibles.,,À faire,
41,WALL-003,Wallet,Obligatoire,Les deux,Tickets achetés,,Segment Tickets (ou équivalent).,Tickets achetés listés avec loterie associée.,,À faire,
42,WALL-004,Wallet,Recommandé,Les deux,Gagner plus de tokens,,Action Gagner plus ou équivalent depuis wallet.,Redirection vers onglet Missions.,,À faire,
43,WALL-005,Wallet,Recommandé,Les deux,Toast info wallet,,Appuyer sur l'icône info du wallet.,Toast ou message explicatif en français.,,À faire,
44,PROF-006,Profil,Obligatoire,Les deux,Affichage profil,,Onglet Profil.,Avatar pseudo solde infos personnelles visibles.,,À faire,
45,PROF-007,Profil,Obligatoire,Les deux,Modifier le profil,,Modifier pseudo ou pays/département. Enregistrer.,Modifications sauvegardées visibles après retour.,,À faire,
46,PROF-008,Profil,Recommandé,Les deux,Changer la photo,,Modifier le profil → changer photo depuis galerie.,Photo mise à jour ou message d'erreur clair si refus permission.,Permission photos demandée au bon moment.,À faire,
47,PROF-009,Profil,Obligatoire,Les deux,Documents légaux,,Ouvrir menu documents légaux (CGU confidentialité etc.).,Textes scrollables en français fermeture OK.,,À faire,
48,PROF-010,Profil,Recommandé,Les deux,Contact support,,Utiliser le lien contact support depuis le profil.,Ouverture client mail ou action attendue.,,À faire,
49,PARR-001,Parrainage,Recommandé,Les deux,Hub parrainage,,Profil → accès parrainage (Parrainer ou équivalent).,Code parrain personnel visible. Bouton partager.,,À faire,
50,PARR-002,Parrainage,Recommandé,Les deux,Partager le code,,Utiliser Partager depuis le hub.,Sheet de partage natif iOS/Android avec message en français.,,À faire,
51,PARR-003,Parrainage,Recommandé,Les deux,Liste des filleuls,,Consulter la liste des filleuls invités.,Liste vide ou filleuls avec statuts pending qualified rewarded.,,À faire,
52,RESU-001,Résultats,Recommandé,Les deux,Liste résultats,,Ouvrir Résultats (depuis loteries ou navigation).,Loteries tirées auxquelles l'utilisateur a participé ou état vide explicite.,Nécessite d'avoir acheté un ticket sur une loterie déjà tirée pour voir du contenu.,À faire,
53,RESU-002,Résultats,Recommandé,Les deux,Détail résultat,,Ouvrir une loterie tirée dans la liste résultats.,Détail gagnant/perdant cohérent tickets affichés.,,À faire,
54,NOTIF-001,Notifications,Recommandé,Les deux,Enregistrement token push,,Première connexion accepter les notifications. Utiliser l'app quelques minutes.,Permission accordée app stable. Pas de crash si refus.,Appareil physique obligatoire. Config Firebase peut différer prod vs preview.,À faire,
55,NOTIF-002,Notifications,Optionnel,Les deux,Réception push parrainage,,Scénario avancé : filleul complète 1ère mission éligible validée admin → parrain reçoit notif.,Notification reçue texte FR cohérent. Tap ouvre l'app.,Coordination avec équipe admin. Peut être testé en fin de campagne.,À faire,
56,NOTIF-003,Notifications,Optionnel,Les deux,Réception push résultats loterie,,Scénario avancé : loterie tirée où vous aviez un ticket actif.,Une notification résultats reçue après tirage (délai cron ~5 min).,Voir checklist admin loteries MEMO pour scénario complet.,À faire,
57,NAV-001,Navigation,Obligatoire,Les deux,Onglets principaux,,Naviguer entre Accueil Missions Loteries Wallet Profil plusieurs fois.,Chaque onglet s'ouvre sans crash. État conservé raisonnablement au retour.,,À faire,
58,NAV-002,Navigation,Recommandé,Les deux,Retour arrière,,Depuis un détail mission ou loterie utiliser retour.,Retour à la liste correcte pas d'écran blanc.,,À faire,
59,NAV-003,Navigation,Recommandé,Les deux,Mode sombre / clair,,Basculer le thème système de l'appareil si supporté.,Textes et contrastes restent lisibles.,,À faire,
60,REG-001,Régression,Recommandé,Les deux,Relance app en arrière-plan,,Mettre l'app en arrière-plan 1 min. Rouvrir.,Session conservée pas de retour forcé à l'onboarding.,,À faire,
61,REG-002,Régression,Recommandé,Les deux,Mode avion bref,,Activer mode avion ouvrir une liste. Désactiver réessayer.,Message d'erreur réseau + bouton réessayer fonctionnel.,,À faire,
62,REG-003,Régression,Optionnel,Les deux,Suppression de compte,,Profil → supprimer mon compte → confirmer.,Compte supprimé déconnexion. Ne pas utiliser le compte principal de test.,Destructif : utiliser un compte jetable.,À faire,
